query_id,reference_id
Q0000,
Q0001,
Q0002,
Q0003,
Q0004,
Q0005,
Q0006,
Q0007,
Q0008,
Q0009,
Q0010,
Q0011,
Q0012,
Q0013,
Q0014,
Q0015,
Q0016,
Q0017,R30885
Q0018,
Q0019,R32684
Q0020,
Q0021,
Q0022,
Q0023,
Q0024,
Q0025,R92291
Q0026,
Q0027,
Q0028,
Q0029,
Q0030,
Q0031,
Q0032,
Q0033,
Q0034,R39561
Q0035,
Q0036,R15680
Q0037,R68556
Q0038,
Q0039,
Q0040,
Q0041,
Q0042,
Q0043,
Q0044,R34318
Q0045,R50397
Q0046,
Q0047,
Q0048,R58367
Q0049,
Q0050,R68654
Q0051,
Q0052,R53746
Q0053,
Q0054,
Q0055,R33034
Q0056,
Q0057,
Q0058,
Q0059,
Q0060,R03513
Q0061,
Q0062,
Q0063,
Q0064,
Q0065,
Q0066,
Q0067,R42187
Q0068,
Q0069,
Q0070,
Q0071,R20619
Q0072,
Q0073,R74536
Q0074,
Q0075,
Q0076,
Q0077,
Q0078,
Q0079,
Q0080,
Q0081,
Q0082,
Q0083,
Q0084,R42364
Q0085,R48125
Q0086,
Q0087,
Q0088,R28169
Q0089,
Q0090,
Q0091,
Q0092,
Q0093,
Q0094,
Q0095,R08207
Q0096,
Q0097,
Q0098,
Q0099,
Q0100,
Q0101,
Q0102,
Q0103,
Q0104,
Q0105,
Q0106,
Q0107,
Q0108,
Q0109,R80994
Q0110,
Q0111,
Q0112,
Q0113,
Q0114,
Q0115,
Q0116,
Q0117,
Q0118,
Q0119,
Q0120,
Q0121,R33421
Q0122,R35682
Q0123,
Q0124,
Q0125,
Q0126,
Q0127,
Q0128,
Q0129,
Q0130,
Q0131,R56015
Q0132,
Q0133,
Q0134,
Q0135,
Q0136,
Q0137,R37989
Q0138,R29826
Q0139,
Q0140,
Q0141,
Q0142,
Q0143,
Q0144,
Q0145,
Q0146,
Q0147,
Q0148,
Q0149,R42137
Q0150,R18494
Q0151,
Q0152,
Q0153,
Q0154,R63271
Q0155,
Q0156,
Q0157,
Q0158,
Q0159,
Q0160,R48325
Q0161,
Q0162,
Q0163,
Q0164,R29529
Q0165,
Q0166,
Q0167,
Q0168,
Q0169,
Q0170,
Q0171,
Q0172,
Q0173,R29056
Q0174,
Q0175,
Q0176,R31536
Q0177,
Q0178,
Q0179,R61419
Q0180,
Q0181,
Q0182,
Q0183,
Q0184,
Q0185,
Q0186,R09155
Q0187,R68506
Q0188,
Q0189,
Q0190,
Q0191,
Q0192,
Q0193,R19399
Q0194,
Q0195,
Q0196,
Q0197,
Q0198,
Q0199,R88171
Q0200,R36225
Q0201,
Q0202,
Q0203,
Q0204,R97957
Q0205,
Q0206,
Q0207,
Q0208,
Q0209,R49484
Q0210,
Q0211,R69187
Q0212,
Q0213,R30419
Q0214,
Q0215,
Q0216,
Q0217,
Q0218,R73886
Q0219,
Q0220,
Q0221,
Q0222,
Q0223,
Q0224,
Q0225,
Q0226,
Q0227,
Q0228,
Q0229,R09555
Q0230,
Q0231,
Q0232,
Q0233,
Q0234,
Q0235,
Q0236,R59156
Q0237,
Q0238,R27732
Q0239,
Q0240,
Q0241,
Q0242,
Q0243,
Q0244,
Q0245,
Q0246,
Q0247,
Q0248,
Q0249,
Q0250,
Q0251,
Q0252,
Q0253,R81444
Q0254,
Q0255,R31335
Q0256,
Q0257,
Q0258,
Q0259,
Q0260,
Q0261,
Q0262,R46410
Q0263,
Q0264,
Q0265,
Q0266,
Q0267,
Q0268,R99363
Q0269,
Q0270,
Q0271,
Q0272,R76650
Q0273,
Q0274,
Q0275,
Q0276,R65453
Q0277,
Q0278,R16583
Q0279,
Q0280,R99063
Q0281,
Q0282,
Q0283,
Q0284,
Q0285,
Q0286,
Q0287,R26998
Q0288,
Q0289,
Q0290,
Q0291,
Q0292,R98307
Q0293,R61804
Q0294,
Q0295,R29172
Q0296,
Q0297,
Q0298,
Q0299,
Q0300,
Q0301,
Q0302,
Q0303,R63509
Q0304,R84675
Q0305,R69287
Q0306,
Q0307,
Q0308,
Q0309,
Q0310,R62702
Q0311,
Q0312,
Q0313,
Q0314,
Q0315,
Q0316,
Q0317,R75547
Q0318,
Q0319,R67234
Q0320,
Q0321,R37258
Q0322,
Q0323,R57471
Q0324,
Q0325,
Q0326,R49434
Q0327,R66834
Q0328,R67384
Q0329,
Q0330,
Q0331,
Q0332,R81671
Q0333,
Q0334,
Q0335,
Q0336,
Q0337,
Q0338,
Q0339,
Q0340,
Q0341,
Q0342,
Q0343,R12837
Q0344,
Q0345,
Q0346,
Q0347,
Q0348,R81571
Q0349,
Q0350,
Q0351,
Q0352,
Q0353,
Q0354,
Q0355,
Q0356,
Q0357,
Q0358,
Q0359,
Q0360,
Q0361,
Q0362,
Q0363,
Q0364,R81144
Q0365,
Q0366,
Q0367,
Q0368,
Q0369,
Q0370,
Q0371,R49184
Q0372,R89390
Q0373,R54794
Q0374,
Q0375,
Q0376,
Q0377,
Q0378,
Q0379,
Q0380,
Q0381,
Q0382,
Q0383,
Q0384,
Q0385,
Q0386,R09105
Q0387,R36958
Q0388,
Q0389,
Q0390,
Q0391,R76750
Q0392,
Q0393,
Q0394,
Q0395,
Q0396,
Q0397,
Q0398,
Q0399,
Q0400,
Q0401,
Q0402,R63709
Q0403,
Q0404,
Q0405,R86869
Q0406,R17333
Q0407,
Q0408,
Q0409,R36576
Q0410,
Q0411,
Q0412,
Q0413,
Q0414,R69804
Q0415,R61077
Q0416,R48475
Q0417,
Q0418,
Q0419,
Q0420,
Q0421,
Q0422,
Q0423,
Q0424,R45885
Q0425,
Q0426,
Q0427,
Q0428,
Q0429,R35102
Q0430,R78923
Q0431,
Q0432,
Q0433,
Q0434,R98563
Q0435,
Q0436,
Q0437,
Q0438,R37930
Q0439,
Q0440,
Q0441,
Q0442,R67934
Q0443,
Q0444,
Q0445,
Q0446,
Q0447,
Q0448,
Q0449,R54096
Q0450,
Q0451,
Q0452,
Q0453,
Q0454,R38460
Q0455,
Q0456,
Q0457,
Q0458,
Q0459,R11174
Q0460,
Q0461,R56215
Q0462,
Q0463,
Q0464,
Q0465,
Q0466,R85241
Q0467,
Q0468,
Q0469,R09005
Q0470,
Q0471,
Q0472,
Q0473,R57621
Q0474,
Q0475,
Q0476,
Q0477,
Q0478,
Q0479,
Q0480,R34645
Q0481,
Q0482,
Q0483,
Q0484,
Q0485,
Q0486,
Q0487,
Q0488,
Q0489,
Q0490,R67734
Q0491,
Q0492,
Q0493,R71473
Q0494,
Q0495,
Q0496,
Q0497,
Q0498,
Q0499,R64609
Q0500,R61904
Q0501,
Q0502,
Q0503,
Q0504,
Q0505,
Q0506,
Q0507,R57184
Q0508,
Q0509,
Q0510,
Q0511,
Q0512,
Q0513,
Q0514,
Q0515,
Q0516,
Q0517,
Q0518,R25598
Q0519,
Q0520,
Q0521,R44703
Q0522,
Q0523,R82791
Q0524,
Q0525,
Q0526,
Q0527,
Q0528,
Q0529,
Q0530,
Q0531,R59656
Q0532,
Q0533,
Q0534,R33134
Q0535,R33284
Q0536,
Q0537,
Q0538,
Q0539,
Q0540,
Q0541,
Q0542,
Q0543,
Q0544,
Q0545,
Q0546,
Q0547,
Q0548,
Q0549,
Q0550,
Q0551,R86149
Q0552,
Q0553,
Q0554,R86340
Q0555,
Q0556,
Q0557,
Q0558,
Q0559,
Q0560,R76500
Q0561,
Q0562,
Q0563,R85091
Q0564,
Q0565,
Q0566,
Q0567,
Q0568,
Q0569,
Q0570,
Q0571,
Q0572,
Q0573,
Q0574,
Q0575,
Q0576,
Q0577,
Q0578,R19049
Q0579,R42427
Q0580,
Q0581,
Q0582,
Q0583,R63609
Q0584,
Q0585,R17686
Q0586,R75897
Q0587,R53031
Q0588,
Q0589,
Q0590,R23442
Q0591,
Q0592,R34845
Q0593,R12537
Q0594,
Q0595,R54296
Q0596,
Q0597,
Q0598,
Q0599,
Q0600,R56266
Q0601,
Q0602,
Q0603,R32466
Q0604,R61519
Q0605,R37008
Q0606,
Q0607,
Q0608,
Q0609,
Q0610,
Q0611,
Q0612,
Q0613,R67484
Q0614,
Q0615,
Q0616,
Q0617,
Q0618,R26348
Q0619,
Q0620,
Q0621,
Q0622,
Q0623,
Q0624,
Q0625,R38014
Q0626,
Q0627,
Q0628,
Q0629,R58717
Q0630,
Q0631,
Q0632,
Q0633,
Q0634,
Q0635,R37580
Q0636,
Q0637,
Q0638,
Q0639,
Q0640,
Q0641,R29976
Q0642,R70006
Q0643,
Q0644,R46464
Q0645,
Q0646,
Q0647,R97907
Q0648,
Q0649,
Q0650,
Q0651,
Q0652,
Q0653,
Q0654,
Q0655,
Q0656,R27526
Q0657,
Q0658,
Q0659,R45103
Q0660,
Q0661,
Q0662,
Q0663,
Q0664,
Q0665,R96878
Q0666,
Q0667,R82221
Q0668,
Q0669,R34952
Q0670,R60306
Q0671,
Q0672,
Q0673,
Q0674,R29776
Q0675,
Q0676,
Q0677,
Q0678,R39261
Q0679,
Q0680,
Q0681,
Q0682,R93749
Q0683,
Q0684,
Q0685,
Q0686,
Q0687,
Q0688,
Q0689,
Q0690,
Q0691,
Q0692,R67634
Q0693,R24242
Q0694,
Q0695,
Q0696,
Q0697,
Q0698,
Q0699,R09205
Q0700,
Q0701,
Q0702,R59906
Q0703,
Q0704,
Q0705,
Q0706,R31845
Q0707,
Q0708,
Q0709,
Q0710,
Q0711,
Q0712,
Q0713,
Q0714,
Q0715,
