query_id,reference_id
Q000,R03839
Q000,R01785
Q000,R00761
Q000,R00899
Q000,R04244
Q000,R04200
Q000,R03864
Q000,R02999
Q000,R04289
Q000,R01422
Q000,R04576
Q000,R04971
Q000,R00655
Q000,R02991
Q000,R02462
Q000,R00982
Q000,R01158
Q000,R04864
Q000,R03606
Q000,R04678
Q000,R02585
Q000,R01440
Q000,R04300
Q000,R03107
Q000,R02584
Q000,R01290
Q000,R02529
Q000,R04868
Q000,R03892
Q000,R02864
Q000,R02309
Q000,R01261
Q000,R04399
Q000,R03096
Q000,R04956
Q000,R03424
Q000,R01982
Q000,R00544
Q000,R03444
Q000,R01760
Q000,R01296
Q000,R00672
Q000,R03504
Q000,R03341
Q000,R04435
Q000,R01369
Q000,R04784
Q000,R01636
Q000,R04814
Q000,R02003
Q000,R01135
Q000,R01670
Q000,R00986
Q000,R01934
Q000,R01860
Q000,R01108
Q000,R01901
Q000,R03053
Q000,R03761
Q000,R01535
Q000,R00436
Q000,R00282
Q000,R01269
Q000,R04708
Q000,R01406
Q000,R01227
Q000,R02537
Q000,R04123
Q000,R00816
Q000,R02655
Q000,R04787
Q000,R00631
Q000,R03002
Q001,R03839
Q001,R01785
Q001,R00761
Q001,R00899
Q001,R04244
Q001,R04200
Q001,R03864
Q001,R02999
Q001,R04289
Q001,R01422
Q001,R04576
Q001,R04971
Q001,R00655
Q001,R02991
Q001,R02462
Q001,R00982
Q001,R01158
Q001,R04864
Q001,R03606
Q001,R04678
Q001,R02585
Q001,R01440
Q001,R04300
Q001,R03107
Q001,R02584
Q001,R01290
Q001,R02529
Q001,R04868
Q001,R03892
Q001,R02864
Q001,R02309
Q001,R01261
Q001,R04399
Q001,R03096
Q001,R04956
Q001,R03424
Q001,R01982
Q001,R00544
Q001,R03444
Q001,R01760
Q001,R01296
Q001,R00672
Q001,R03504
Q001,R03341
Q001,R04435
Q001,R01369
Q001,R04784
Q001,R01636
Q001,R04814
Q001,R02003
Q001,R01135
Q001,R01670
Q001,R00986
Q001,R01934
Q001,R01860
Q001,R01108
Q001,R01901
Q001,R03053
Q001,R03761
Q001,R01535
Q001,R00436
Q001,R00282
Q001,R01269
Q001,R04708
Q001,R01406
Q001,R01227
Q001,R02537
Q001,R04123
Q001,R00816
Q001,R02655
Q001,R04787
Q001,R00631
Q001,R03002
Q002,R03839
Q002,R01785
Q002,R00761
Q002,R00899
Q002,R04244
Q002,R04200
Q002,R03864
Q002,R02999
Q002,R04289
Q002,R01422
Q002,R04576
Q002,R04971
Q002,R00655
Q002,R02991
Q002,R02462
Q002,R00982
Q002,R01158
Q002,R04864
Q002,R03606
Q002,R04678
Q002,R02585
Q002,R01440
Q002,R04300
Q002,R03107
Q002,R02584
Q002,R01290
Q002,R02529
Q002,R04868
Q002,R03892
Q002,R02864
Q002,R02309
Q002,R01261
Q002,R04399
Q002,R03096
Q002,R04956
Q002,R03424
Q002,R01982
Q002,R00544
Q002,R03444
Q002,R01760
Q002,R01296
Q002,R00672
Q002,R03504
Q002,R03341
Q002,R04435
Q002,R01369
Q002,R04784
Q002,R01636
Q002,R04814
Q002,R02003
Q002,R01135
Q002,R01670
Q002,R00986
Q002,R01934
Q002,R01860
Q002,R01108
Q002,R01901
Q002,R03053
Q002,R03761
Q002,R01535
Q002,R00436
Q002,R00282
Q002,R01269
Q002,R04708
Q002,R01406
Q002,R01227
Q002,R02537
Q002,R04123
Q002,R00816
Q002,R02655
Q002,R04787
Q002,R00631
Q002,R03002
Q003,R03839
Q003,R01785
Q003,R00761
Q003,R00899
Q003,R04244
Q003,R04200
Q003,R03864
Q003,R02999
Q003,R04289
Q003,R01422
Q003,R04576
Q003,R04971
Q003,R00655
Q003,R02991
Q003,R02462
Q003,R00982
Q003,R01158
Q003,R04864
Q003,R03606
Q003,R04678
Q003,R02585
Q003,R01440
Q003,R04300
Q003,R03107
Q003,R02584
Q003,R01290
Q003,R02529
Q003,R04868
Q003,R03892
Q003,R02864
Q003,R02309
Q003,R01261
Q003,R04399
Q003,R03096
Q003,R04956
Q003,R03424
Q003,R01982
Q003,R00544
Q003,R03444
Q003,R01760
Q003,R01296
Q003,R00672
Q003,R03504
Q003,R03341
Q003,R04435
Q003,R01369
Q003,R04784
Q003,R01636
Q003,R04814
Q003,R02003
Q003,R01135
Q003,R01670
Q003,R00986
Q003,R01934
Q003,R01860
Q003,R01108
Q003,R01901
Q003,R03053
Q003,R03761
Q003,R01535
Q003,R00436
Q003,R00282
Q003,R01269
Q003,R04708
Q003,R01406
Q003,R01227
Q003,R02537
Q003,R04123
Q003,R00816
Q003,R02655
Q003,R04787
Q003,R00631
Q003,R03002
Q004,R03839
Q004,R01785
Q004,R00761
Q004,R00899
Q004,R04244
Q004,R04200
Q004,R03864
Q004,R02999
Q004,R04289
Q004,R01422
Q004,R04576
Q004,R04971
Q004,R00655
Q004,R02991
Q004,R02462
Q004,R00982
Q004,R01158
Q004,R04864
Q004,R03606
Q004,R04678
Q004,R02585
Q004,R01440
Q004,R04300
Q004,R03107
