query_id,reference_id
Q0000,R6613
Q0000,R3102
Q0000,R5296
Q0000,R6564
Q0000,R4175
Q0000,R1500
Q0000,R3408
Q0001,R2712
Q0001,R5826
Q0001,R3551
Q0001,R4112
Q0001,R2759
Q0001,R8772
Q0001,R2845
Q0001,R9626
Q0001,R2219
Q0001,R1897
Q0001,R3294
Q0001,R3212
Q0001,R3405
Q0001,R9685
Q0001,R6297
Q0001,R0949
Q0001,R1686
Q0001,R0155
Q0001,R3462
Q0001,R3464
Q0002,R4304
Q0002,R6731
Q0002,R9124
Q0002,R0953
Q0002,R0199
Q0002,R9532
Q0002,R6639
Q0002,R6114
Q0003,R2212
Q0003,R0707
Q0003,R3338
Q0003,R2870
Q0003,R8862
Q0003,R7126
Q0003,R8030
Q0003,R6901
Q0003,R0708
Q0003,R2506
Q0003,R1237
Q0004,R2580
Q0005,R0568
Q0005,R6352
Q0006,R8092
Q0006,R2023
Q0006,R1644
Q0006,R8537
Q0006,R3470
Q0006,R9881
Q0006,R8884
Q0006,R6943
Q0006,R9155
Q0006,R9884
Q0006,R7063
Q0006,R9426
Q0006,R8363
Q0006,R5616
Q0006,R6147
Q0006,R0889
Q0006,R8176
Q0006,R7715
Q0006,R5159
Q0006,R6071
Q0006,R0791
Q0006,R1045
Q0006,R0894
Q0006,R5635
Q0006,R6323
Q0006,R1418
Q0006,R8735
Q0006,R9581
Q0006,R0362
Q0006,R9895
Q0006,R5512
Q0006,R2604
Q0006,R0093
Q0006,R8696
Q0006,R7875
Q0006,R7634
Q0006,R3172
Q0006,R1939
Q0006,R6727
Q0006,R3798
Q0006,R9557
Q0006,R3295
Q0006,R1672
Q0006,R7738
Q0006,R2865
Q0006,R0226
Q0006,R4189
Q0006,R0493
Q0006,R7090
Q0006,R5148
Q0006,R7487
Q0006,R7921
Q0006,R9995
Q0006,R9025
Q0006,R9072
Q0006,R6379
Q0006,R8054
Q0007,R6344
Q0007,R0051
Q0007,R3619
Q0008,R9473
Q0008,R3382
Q0008,R9746
Q0009,R4929
Q0009,R2534
Q0009,R4465
Q0009,R5140
Q0009,R9699
Q0009,R6991
Q0009,R3988
Q0009,R1871
Q0010,R8609
Q0010,R7630
Q0010,R0378
Q0010,R4610
Q0010,R1935
Q0010,R1353
Q0010,R3147
Q0010,R9680
Q0010,R5491
Q0010,R7439
Q0010,R7476
Q0010,R8750
Q0010,R5959
Q0010,R7644
Q0011,R9804
Q0011,R0166
Q0011,R2580
Q0011,R9859
Q0011,R5123
Q0011,R5595
Q0011,R7224
Q0011,R5908
Q0011,R6061
Q0012,R1471
Q0013,R0940
Q0014,R0182
Q0014,R3971
Q0014,R4918
Q0014,R7017
Q0014,R2080
Q0014,R2704
Q0014,R3965
Q0014,R3292
Q0014,R5012
Q0014,R0531
Q0014,R4248
Q0014,R6599
Q0014,R0458
Q0015,R2051
Q0015,R5808
Q0015,R9121
Q0015,R8681
Q0015,R9756
Q0015,R0967
Q0015,R5937
Q0015,R4565
Q0015,R5636
Q0015,R3053
Q0015,R6044
Q0015,R6825
Q0015,R6530
Q0016,R8771
Q0016,R8707
Q0016,R1999
Q0016,R9310
Q0016,R1319
Q0016,R6426
Q0016,R4519
Q0016,R1854
Q0016,R3899
Q0016,R5011
Q0016,R2998
Q0016,R8107
Q0016,R9239
Q0016,R1718
Q0016,R1513
Q0016,R2748
Q0016,R7086
Q0017,R6703
Q0017,R6102
Q0017,R8538
